organization,service,description,scheme,created,asset_url
Atlassian,Opsgenie,"<p>Opsgenie is an alerting and on-call management solution for dev &amp; ops teams. We provide the tools needed to design actionable alerts, manage on-call schedules &amp; escalations, and ensure that the right people are notified at the right time, using multiple notification methods.</p>
",CAIQ 3.1 Self-assessment,2022-01-19 17:59:14.659426,https://content-production.star.watch/atlassian/2020-07-28_atlassian-logo-gradient-horizontal-blue_2x-original.png
Blackbaud,Blackbaud Stewardship Management,"<p>Connect more with your donors.<br>
With Blackbaud Stewardship Management, donors can easily and securely access a comprehensive view of reports and updates you have shared throughout their entire giving history.</p>

<p>Provide donors with a central place to see the financial performance of their funds and the personal impact of their giving with recipient stories, recipient thank-you statements, and communications<br>
Enhance communication with donors by sharing campus news and activities using an organized bulletin board in an online portal<br>
Tailor the delivery of annual reports by providing the donor with options to view their fund impact and financial data via online access, email, or print.</p>
",CAIQ 3.1 Self-assessment,2021-05-11 20:13:24.869016,https://content-production.star.watch/blackbaud/2021-03-04_blackbaud-original.png
Integrated Telecom Company (ITC),ITC Cloud,"<p>ITC has classified their cloud services into 4 Main categories listed below as:</p>

<p>Infrastructure as a Service</p>

<p>Hosting and Collaboration</p>

<p>Security Services</p>

<p>Software as a service</p>
",CAIQ 3.1 Self-assessment,2020-09-21 16:49:05.999926,https://content-production.star.watch/integrated-telecom-company-itc/2021-03-04_Integrated-original.png
HERE Technologies,HERE Platform,"<p>HERE Platform is the destination for location data and services in a variety of industries including Automotive, Transportation and Logistics, Public Sector and Infrastructure, Media, Insurance, Telecom, Utilities, and Mobile Payments. HERE provides a rich suite of products designed to answer the most common use cases and serve these industries</p>
",CAIQ 4.0.2 Self-assessment,2021-08-27 17:32:16.827728,https://content-production.star.watch/here-technologies/2021-03-04_HERE-original.png
Ribose,Ribose,"Ribose helps individuals and organizations worldwide cooperate effectively through its social collaboration platform. By focusing on the “whole of collaboration”, Ribose has taken online social collaboration to a new level. Whether planning social events for family and friends or running complex business projects, you will find that Ribose makes it easy, effective and genuinely fun.",CAIQ 4.0.1 Self-assessment,2021-10-12 18:00:30.50404,https://content-production.star.watch/ribose/2018-01-24_Ribose-original.png
"VMware, Inc.",CloudHealth Secure State,"<p>Helping public cloud teams mitigate security and compliance risk through intelligent, real-time security insight.</p>
",CAIQ 3.1 Self-assessment,2021-08-24 17:10:13.384033,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
MongoDB,MongoDB Atlas,"<p>MongoDB Atlas is a database as a service created by the experts who design and engineer MongoDB.  MongoDB Atlas provides all of the features of MongoDB while automating database administration tasks such as database configuration, infrastructure provisioning, patches, scaling events, backups and more.  This allows MongoDB Atlas customers to deliver applications or new features quickly, and focus on what matters most to their business instead of database systems.</p>",CAIQ 3.1 Self-assessment,2021-07-15 20:00:03.338355,https://content-production.star.watch/mongodb/2022-01-12_mongo-original.png
Acronis International GmbH,Acronis Cyber Protect Cloud,"<p>Acronis Cyber Protect Cloud is a unique integration of backup with full-stack next-generation anti-malware protection and comprehensive endpoint management tools. This synergy eliminates complexity, so service providers can protect customers better while keeping costs down.</p>
",CAIQ 3.1 Self-assessment,2020-05-06 00:00:00,https://content-production.star.watch/acronis-international-gmbh/2021-03-04_acronis-original.png
Oracle Corporation,Oracle SaaS Services - EPM Cloud,"<p>The Oracle Software as a Service (SaaS) provides customers with Enterprise Performance Management services all hosted in a cloud environment based on customer needs. Customers are able to manage various business components, which allows for scaling and tailoring to business needs. </p>",STAR Certification,2020-02-02 00:00:00,https://content-production.star.watch/oracle-corporation/2021-04-23_oracle-cloud-original.png
Box,Box,"<p>Box (NYSE:BOX) is the Cloud Content Management company that empowers enterprises to revolutionize how they work by securely connecting their people, information and applications. Founded in 2005, Box powers more than 71,000 businesses globally, including AstraZeneca, General Electric, P&amp;G, and The GAP. Box is headquartered in Redwood City, CA, with offices across the United States, Europe and Asia. To learn more about Box, visit <a href=""http://www.box.com"">http://www.box.com</a>.</p>",CAIQ 3.1 Self-assessment,2020-11-30 22:15:56.634643,https://content-production.star.watch/box/2021-04-21_box-logo-1.png-original.png
Cisco Systems,Cisco ,"<p>Common corporate controls for Cisco cloud offers</p>
",CAIQ 4.0.2 Self-assessment,2022-02-24 22:57:42.469637,https://content-production.star.watch/cisco-systems/2021-03-04_cisco-original.png
"VMware, Inc.",VMware® Workspace ONE™ Unified Endpoint Management,"<p>Manage every device and every use case with Unified Endpoint Management (UEM): Reduce costs and improve security with modern, over-the-air management of every endpoint – including desktops, mobile, rugged, and IoT – and ensure enterprise security at every layer with Workspace ONE UEM, powered by AirWatch technology. Please see the <a href=""https://www.vmware.com/products/workspace-one/unified-endpoint-management.html"">Workspace ONE UEM</a> service page for additional information.</p>",CAIQ 3.1 Self-assessment,2021-06-07 21:33:36.487794,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
Accenture Plc,Accenture,"<p>Accenture is a multinational professional services company that provides services in Strategy &amp; Consulting, Interactive, Technology &amp; Operations.</p>",STAR Certification,2020-03-22 05:00:00,https://content-production.star.watch/accenture-plc/2021-03-04_Accenture-original.png
Atlassian,Trello,"<p>Infinitely flexible. Incredibly easy to use. Great mobile apps. It's free. Trello keeps track of everything, from the big picture to the minute details.</p>
",CAIQ 3.1 Self-assessment,2022-01-19 18:00:16.331751,https://content-production.star.watch/atlassian/2020-07-28_atlassian-logo-gradient-horizontal-blue_2x-original.png
"Huawei Technologies Co., Ltd. OWS (Operation Web Services) Operation Center",Huawei Operation Web Services,"",CAIQ 3.1 Self-assessment,2020-11-03 00:00:00,https://content-production.star.watch/huawei-technologies-co.-ltd.-ows-operation-web-services-operation-center/2021-03-04_2018-01-24_Huawei_Software_Technologies-small-original.png
SafeBase,SafeBase,"<p>SafeBase helps to automate time consuming parts of the sales process with regards to security. Our Security Status Page allows you to get proactive with your prospects around security posturing and review at the beginning of the sales cycle.  Our Private page, NDA integration, and Analytics help you gain insight and reduce friction as you engage your customers. Our Security Knowledge Base centralizes all security related policies, questionnaires, and reports in one easy, searchable place.</p>
",CAIQ 3.1 Self-assessment,2021-06-04 20:55:15.177043,https://content-production.star.watch/safebase/2021-06-04_Picture2-original.png
Phenom People Inc.,Phenom People Inc.,"<p>The Phenom Talent Experience Management platform—a single platform that eliminates the need for multiple HR tools—connects the four key stakeholder experiences in the talent lifecycle and reduces time-to-hire and cost-per-hire, while improving talent quality and productivity:</p>
<p>Candidate Experience: Talent leaders make the candidate journey meaningful and personalized with the integration of their career site, chatbot, CMS, and university recruiting app. Instant delivery of job recommendations converts more qualified applicants and allows recruiters to spend more time with top talent.</p>
<p>Recruiter Experience: Recruiters identify top talent faster with AI-powered fit and engagement scoring in their CRM. Email and SMS campaigns further engage passive candidates and build quality pipelines.</p>
<p>Employee Experience: Talent management empowers employees to identify new career paths, learning opportunities, and skill gaps with personalized job openings and internal mobility. Automating the referral process allows them to tap into their professional networks and help fill roles faster.</p>
<p>Management Experience: Leadership and hiring managers identify gaps in the hiring process and optimize strategies by evaluating talent analytics, reporting, and forecasting. These analyses also allow talent leaders to develop succession plans that prepare the organization for future growth.</p>",CAIQ 4.0.1 Self-assessment,2021-09-01 17:19:31.887439,https://content-production.star.watch/phenom-people-inc/2021-03-15_phenom-original.png
Blackbaud,Blackbaud Peer-to-Peer (Just Giving),"<p>Supporter behavior is undergoing a radical shift. Blackbaud Peer-to-Peer Fundraising, powered by JustGiving offers a standalone or integrated online fundraising platform. With beautifully branded campaigns that include peer-to-peer fundraising and direct giving, the simple to use interface matched with Blackbaud’s expertise levels the playing field for small to medium-sized nonprofits, improving donor acquisition and increasing donation conversion rates.</p>
",CAIQ 3.1 Self-assessment,2021-08-13 16:22:38.381203,https://content-production.star.watch/blackbaud/2021-03-04_blackbaud-original.png
Trintech,Trintech,"<p>Software as a Service Company. Trintech offers Cloud software to automate and manage the entire financial close process – including balance sheet reconciliations, journal entries, close tasks, compliance, and financial reporting.</p>",CAIQ 4.0.1 Self-assessment,2022-01-20 00:00:00,https://content-production.star.watch/trintech/2019-07-23_Trintech_CorporateLogo-1024x216-original.png
ForgeRock Identity Cloud,ForgeRock Identity Cloud ,"<p>At ForgeRock , we help people safely and simply access the connected world by enabling exceptional digital experiences, no compromise security, and comprehensive functionality at any scale with simple, flexible, and rapid implementations. We do all of this with our unified identity platform — delivered as-a-service, with push-button deployments to any cloud, or into your own data center to create next-gen hybrid cloud with all the essential ForgeRock features. ForgeRock Identity Cloud gives our customers full power of a true identity platform delivered as a cloud service.</p>
",CAIQ 3.1 Self-assessment,2021-08-30 16:08:48.109237,https://content-production.star.watch/forgerock-identity-cloud/2022-01-12_forgerock-simplifies-identity-management-with-launch-of-forgerock-identity-cloud-e1586896538672-original.png
"Broadridge Financial Solutions, Inc.",Broadridge,"",CAIQ 3.1 Self-assessment,2021-05-24 19:55:50.087337,https://content-production.star.watch/broadridge-financial-solutions-inc/2021-03-04_broadridge-original.png
"Trellance, Inc.",M360 Cloud Edition (M360CE),"<p>M360 Cloud Edition (M360CE) is a Trellance Cloud product hosted in a Trellance managed Azure public cloud. This is a Software-as-a-Service (SaaS) platform leveraging Trellance managed systems and partnerships with Snowflake and Azure. M360CE enables credit unions to integrate member and external data into a single source of truth. The CU App Store allows credit unions and vendors to build and collaboratively share M360CE reports and analytics. Turn data from multiple sources into actionable insights.</p>
",CAIQ 3.1 Self-assessment,2022-01-21 15:56:10.403125,https://content-production.star.watch/trellance-inc/2022-01-26_f854e720-original.png
RSA Security LLC,SecurID Access,"More than 30,000 customers worldwide—including nearly half the global Fortune 500—rely on RSA Business-Driven Security™ solutions for cyber threat detection and response, identity and access management, online fraud prevention, and business risk management. Armed with the industry’s most powerful tools, enterprises can better focus on growth, innovation and transformation in today’s volatile business environment.",CAIQ 3.1 Self-assessment,2021-07-15 18:53:45.157969,https://content-production.star.watch/rsa-security-llc/2018-01-24_RSA_Security_LLC-original.png
Auth0,Auth0 Identity Platform,"<p>Auth0 provides authentication and authorization as a service. Auth0 gives developers and companies the building blocks they need to secure their applications, without having to become security experts by connecting any application (written in any language or on any stack) to Auth0 and defining the identity providers use. Based on the application’s technology, Auth0s’ SDKs or API is connected to the client’s applications. Each time a user tries to authenticate, Auth0 will verify their identity and send the required information back to that application.</p>",CAIQ 3.1 Self-assessment,2021-09-07 17:32:57.021363,https://content-production.star.watch/auth0/2021-01-12_auth0-logo-forlightbg-original.png
PwC Certification B.V.,SAP Fieldglass,"<p>Fieldglass is a cloud-based, open vendor management system (VMS) that helps organizations find, engage andmanage their external workforce and services procurement resources.</p>",STAR Certification,2019-12-13 00:00:00,https://content-production.star.watch/pwc-certification-b.v/2021-03-16_PwC_fl_c-original.png
CipherCloud Inc.,CipherCloud Inc.,"<p>CipherCloud, the leader in cloud data security, enables companies to adopt the cloud while ensuring data protection, compliance, and control. CipherCloud delivers a comprehensive multi-cloud security platform that integrates advanced data protection, adaptive policy controls, monitoring, cloud risk analysis. CipherCloud also provides powerful end-to-end protection for data resident in the cloud. Our award-winning cloud access security broker delivers comprehensive visibility, data security, threat protection, and compliance for cloud-based assets. Uniquely, CipherCloud provides the deepest levels of data protection and real-time data access control to provide an immediate solution for challenging cloud security and compliance problems.</p>",CAIQ 3.1 Self-assessment,2021-01-15 17:14:22.677575,https://content-production.star.watch/ciphercloud-inc/2021-03-16_CipherCloud_Logo-original.png
Blackbaud,Blackbaud Payment Services,"<p>Developed by payment experts for nonprofits just like yours, Blackbaud Merchant Services is designed to make payment processing simple, secure, and affordable.</p>

<p>Both a credit card gateway and processor, you benefit from the convenience and protection that comes from working with a single provider<br>
Easily process credit card and ACH (direct debit) transactions with integration to other Blackbaud solutions<br>
Receive funds when you need them with daily disbursements*<br>
It takes just minutes to set up, and you have access to real-time transaction information and reports.</p>
",CAIQ 3.1 Self-assessment,2021-08-13 21:26:50.292942,https://content-production.star.watch/blackbaud/2021-03-04_blackbaud-original.png
"CrowdStrike, Inc",Falcon Platform,"<p>CrowdStrike Falcon is the only solution to unify next-gen AV, endpoint protection and response, managed hunting, IT hygiene and threat intelligence via a single, cloud-delivered lightweight agent. It uses signatureless machine learning and behavioral-based threat prevention to protect against all cyber-attack types.</p>",STAR Attestation,2021-02-28 00:00:00,https://content-production.star.watch/crowdstrike-inc/2018-10-26_crowdstrike_copy-original.png
Temenos AG,Temenos AG,"<p>Temenos offers cloud-native, cloud-agnostic, API-first digital banking, core banking, payments, fund management, and wealth management software products, enabling banks to deliver consistent, frictionless customer journeys and achieve market-leading cost/income performance.</p>
",CAIQ 3.1 Self-assessment,2021-05-05 00:00:00,https://content-production.star.watch/temenos-ag/2021-03-04_temenos-original.png
Vectra AI,Cognito Recall,"<p>Cognito Recall is a secure and scalable big data platform designed for easy exploration and visualization of your network's metadata.   Cognito Recall is a specialized threat hunting platform helping you find indicators of compromise within your network, but also enables compliance, audit and policy based investigations.</p>
",CAIQ 3.1 Self-assessment,2021-06-15 17:27:50.955042,https://content-production.star.watch/vectra-ai/2021-03-16_index-original.png
Zain Data Park,Zain Data Park,"<p>“Zain Data Park” cloud offers ready-to-use compute instances on a multi-tenant or dedicated private, robust, and fully scalable infrastructure to host most demanding e-Business applications in an enterprise grade secure, highly available, and self-controlled environment backed with stringent service level guarantees. Our cloud platform helps organizations take advantage of, virtualization, massive scalability, integrated scalable components with enterprise security and intelligent management with granular control.</p>

<p>Our cloud enables companies to accelerate their eBusiness initiatives and gets to market faster by reducing the time they currently devote to “cobbling together” infrastructure components required to support your business’s IT requirements. With modular, secured, and scalable components in the platform upgrade scalability is click away without any requirement for “forklift upgrade”. It includes scalable compute resources, enterprise class storage, multi-layer network &amp; security options with software defined Network and Security features, access network with special network offerings like MPLS, Internet and Data Centre interconnect, along with 24X7X365 monitoring, Management support.</p>
",CAIQ 4.0.2 Self-assessment,2021-08-16 18:12:44.852942,https://content-production.star.watch/zain-data-park/2021-10-15_index-original.png
OneTrust,OneTrust Platform,"<p>The OneTrust platform is backed by 150 patents and powered by the OneTrust Athena™ AI and robotic automation engine, and capabilities include OneTrust Privacy - Privacy Management Software; OneTrust DataDiscovery - AI-Powered Discovery and Classification; OneTrust DataGovernance - Data Intelligence Software; OneTrust Vendorpedia - Third-Party Risk Exchange; OneTrust GRC - Integrated Risk Management Software; OneTrust Ethics - Ethics and Compliance Software; OneTrust PreferenceChoice - Consent and Preference Management Software; and OneTrust ESG – Environmental, Social &amp; Governance Software</p>
",CAIQ 3.1 Self-assessment,2021-07-28 16:29:28.738419,https://content-production.star.watch/onetrust/2022-01-21_OneTrust_Logo-original.png
Adobe,Adobe Managed Services (Connect and Adobe Experience Manager),"<p>Adobe Managed Services is a solutions management and issue resolution service provided by Adobe. Adobe Managed Services enables businesses and consumers to deliver rapid deployment and the ability to quickly scale to capacity. Adobe Managed Services provides customers an alternative deployment option, enabling organizations to deploy and customize Adobe products to meet their requirements in an Adobe-managed environment that reduces cost and complexity. Adobe Managed Services environments support the following solutions:</p>
<ul>
<li>Adobe Experience Manager Managed Services</li>
<li>Adobe Connect Managed Services</li>
</ul>",CAIQ 4.0.2 Self-assessment,2022-01-04 21:49:19.797019,https://content-production.star.watch/adobe/2020-07-21_adobe_logo-original.png
Atos,AIPA SaaS (on MS Azure),"",CAIQ 3.1 Self-assessment,2021-09-22 17:10:38.202468,https://content-production.star.watch/atos/2018-01-24_Atos-original.png
any.cloud,any.cloud,"<p>any.cloud delivers professional, ISO certified cloud services and IT consulting  to a wide range of clients. Our aim is to help you work more efficiently and quickly and see your business grow securely. We are only satisfied when you are – which is why we keep working until the solution is right for you and your company. Meeting and exceeding your expectations is one of our primary goals.</p>

<p>You can put your trust in our company, as security and complete customer satisfaction is what we are experts at.  Contact us and find out what we can do to ignite your business with a success that will amaze the competition and secure your future. Because we know everything about IT – and look to the future!</p>
",CAIQ 3.1 Self-assessment,2021-03-18 00:00:00,https://content-production.star.watch/any.cloud/2021-03-04_any.cloud_dark_logo-original.png
"Dropbox, Inc.",Dropbox Business,"<p>Dropbox Business is a smart workspace and productivity platform which offers collaboration features such as secure file sync and share, version history, deletion recovery, live support, and a suite of administrator features for better control, visibility, and management. The Dropbox Business product includes the Standard, Advanced, and Enterprise plans, which offer specific feature packages tailored to different organizational needs. Dropbox Education is based on Dropbox Business but is designed specifically for the needs of higher education institutions.</p>",STAR Certification,2020-10-22 00:00:00,https://content-production.star.watch/dropbox-inc/2021-06-30_img-original.png
Saxo Bank,Saxo Bank,"<p>Saxo Bank is a fintech specialist focused on multi-asset trading and investment, offering unparalleled access to multi-asset trading and investment opportunities in global capital markets to clients in more than 170 countries. Saxo Bank also offers “Banking-as-a-Service” to other financial institutions, having more than 100 partnerships that leverage Saxo Bank’s full front-to-back value chain technology to efficiently give their clients a state-of-the art investment experience.</p>",STAR Attestation,2021-10-31 00:00:00,https://content-production.star.watch/saxo-bank/2021-05-21_SaxoBank_logo_2020_Blue_RGB-original.png
Appian,Appian Cloud,"",CAIQ 3.1 Self-assessment,2020-08-25 17:26:16.13497,https://content-production.star.watch/appian/2021-04-01_Appian_2021_(blue-white_field)-original.png
"Samsung SDS Co., Ltd.",Hybrid Cloud Platform,"<p>Samsung SDS offers Hybrid Cloud service to the customers by integrating the SDS Cloud, a private cloud optimized for enterprises, and multiple public clouds provided by Global CSPs. Hybrid Cloud Platform is also provided to develop, operate and manage all the clouds.</p>
<p>■ Integrated governance of hybrid cloud: GOV (Global One View)</p>
<p>■ Automated migration between different clouds: MMP (Multi-cloud Migration Platform)</p>
<p>■ Integrated monitoring of hybrid cloud: IMP (Intelligent Monitoring Platform)</p>
<p>■ Automated deployment from infrastructure to applications: SRE (Site Reliable Engineering)</p>
<p>The company have tried to give cloud tenants various benefits such as reducing system installation time, optimizing develop and operation cost and Reducing failure recovery time through their cloud services. </p>",STAR Certification,2020-12-28 00:00:00,https://content-production.star.watch/samsung-sds-co.-ltd/2022-01-13_SAMSUNG-SDS_Blue-original.png
Cisco Systems,Cisco SD-WAN,"<p>Cisco SD-WAN offers a software-defined WAN solution that enables enterprises and organizations to connect users to their applications securely. It provides a software overlay that runs over standard network transport, including MPLS, broadband, and internet, to deliver applications and services. The overlay network extends the organization’s network to Infrastructure as a Service (IaaS) and multicloud environments, thereby accelerating their shift to the cloud.</p>
<p>This virtualized network runs on the industry’s most broadly deployed routing technology, from physical branch routers such as the Cisco Catalyst® 8000 Edge Platforms Family to virtual machines in the cloud such as the Cisco vEdge Cloud routers. Centralized controllers, which oversee the control plane of the Cisco SD-WAN fabric, efficiently manage the provisioning, maintenance, and security for the entire Secure Extensible Network (SEN) overlay network.</p>
<p>Cisco SD-WAN offers integrated security, including full-stack multilayer security capabilities on the premises and in the cloud. This integrated security provides real-time threat protection where and when it is needed — for branches connecting to multiple Software-as-a-Service (SaaS) or IaaS clouds, data centers, or the internet, further accelerating the transition to a SASE-enabled architecture.</p>
",CAIQ 4.0.2 Self-assessment,2022-02-25 16:57:52.794977,https://content-production.star.watch/cisco-systems/2021-03-04_cisco-original.png
Intility AS,Intility AS,"<p>Intility offers an industrialized and fully managed IT platform, delivered as a service. More than 600 companies across 2000 locations in Norway and the rest of the world, utilize the continuously evolving capabilities of the platform as a foundation for digital transformation while ensuring a modern and secure workplace environment.</p>

<p>Intility includes end-to-end operations and support services, from local infrastructure and devices to business-critical systems and cloud services.</p>

<p>The platform comprises several service areas and sub-platforms. Each in its own is capable of fulfilling business needs, catalyst innovation or acting as vital components in companies’ digital strategies. When integrated and orchestrated into one single solution, delivered as a service, Intility will enable companies to utilize information technology more efficiently, increase their productivity and their competitive edge.</p>
",CAIQ 4.0.1 Self-assessment,2022-02-09 00:00:00,https://content-production.star.watch/intility-as/2022-02-15_intility-original.png
Exclaimer Ltd,Exclaimer Cloud,"<p>Exclaimer Cloud is an email signature management solution that lets you centrally manage Microsoft 365 (formerly Office 365), G Suite, and Microsoft Exchange signatures for all users and devices. Consistent email signatures increase brand awareness and portray a professional image to recipients.</p>
",CAIQ 3.1 Self-assessment,2021-06-24 14:49:18.40288,https://content-production.star.watch/exclaimer-ltd/2022-01-12_Exclaimer-Light-Backg-300px-original.png
"Thales DIS CPL Canada, Inc.",Data Protection On Demand (DPoD),"<p>Thales Data Protection On Demand is a cloud-based platform that provides a wide range of on demand HSM and key management services through a simple online marketplace. <br>
With Data Protection On Demand, security is made simpler, more cost effective and easier to manage because there is no hardware to buy, deploy and maintain.</p>
",CAIQ 3.1 Self-assessment,2021-11-09 00:00:00,https://content-production.star.watch/thales-dis-cpl-canada-inc/2021-03-04_thales-trans-1024x123-original.png
Swascan,Swascan,"<p>Swascan is the Cyber Security Company born in 2017 from the mind of Raoul Chiesa and Pierguido Iezzi.
It’s the first Italian Cybersecurity firm that owns a Cyber Security platform and a Cyber Security Research centre.
Awarded by Cisco as one of the best Cyber Security platforms on the market, it’s the only one to have obtained the «in collaboration with Cisco» honours.
Has been named by Il Sole 24 ore and ECSO, as one of the best Cyber Security Firms in Italy and in Europe respectively. ECSO itself has chosen Swascan in its Cyber Security Market Radar 2019 as a leading provider of Cyber solutions.
Markets &amp; Markets has selected Swascan as one of top 20 most promising companies in the word in the Risk Analysis field.</p>",CAIQ 3.1 Self-assessment,2020-12-23 01:06:43.648657,https://content-production.star.watch/swascan/2022-01-13_swascan-original.png
Mirakl,Mirakl,"<p>Mirakl’s best-of-breed SaaS solution automates marketplace operations including seller onboarding, 3rd party catalog integration, distributed order management and seller invoicing &amp; payout without compromising security, performance or quality of experience.</p>",CAIQ 4.0.2 Self-assessment,2021-10-27 21:51:31.461576,https://content-production.star.watch/mirakl/2021-10-28_Logo-Mirakl-Standard-original.png
Black Kite,Black Kite,"<p>Black Kite provides the only standards-based cyber risk assessment that continuously analyzes your supply chain posture from three critical dimensions: Technical, financial, and compliance. Built on the latest Cloud technology, we follow commonly used frameworks to provide an easy-to-understand cyber risk rating, correlated with financial risk using Open FAIR™ and AI-powered compliance mapping.</p>
",CAIQ 4.0.2 Self-assessment,2021-09-10 21:14:32.290533,https://content-production.star.watch/black-kite/2021-09-28_Black_Kite_Logo_-_Horizontal_for_Light_BG_copy-original.png
Intellimize,Intellimize,"<p>Intellimize helps marketers drive conversions and revenue growth by using artificial intelligence to personalize websites to deliver the right experience to each visitor on any device. Leading companies rely on Intellimize to deliver more revenue, faster, and with less work than traditional A/B testing or rules-based personalization.</p>
",CAIQ 3.1 Self-assessment,2020-07-03 15:54:51.525882,https://content-production.star.watch/intellimize/2021-03-04_intellimize-green-original.png
G42 Cloud Technology LLC,G42 Cloud,"<p>We live in the age of Artificial Narrow Intelligence where the focus is on research and industry<br>
solutions that solve today’s problems in specific situations and industries. In addition to conducting<br>
research and delivering industry solutions that address near term opportunities. Group 42 is also<br>
working towards a future where AI will be able to handle generalized tasks much like humans do in<br>
what will be the age of Artificial General Intelligence</p>
",STAR Certification,2022-01-28 00:00:00,https://content-production.star.watch/g42-cloud-technology-llc/2021-04-26_g42-original.png
"Yardi Systems, Inc.",Yardi Cloud Services,"<p>Yardi Systems, Inc. provides asset and property management software-as-a-service hosting services through a global network of third-party managed datacenters. Yardi Cloud Services supports many clients that span across a broad range of products and services, geographies and industries, including real estate management and financial and government organizations.</p>

<p>• Application suite with modules available to address specific needs, such as Maintenance, Construction, Asset Management, and Budgeting and Forecasting.<br>
• Management software targeted toward niche markets, such as Multifamily Housing, Senior Housing, Military Housing, Student Housing, Affordable Housing, Social Housing, Manufactured Housing, Condo, CO OP, Home Owners Association, Office, Industrial, Retail, Investment Management, Airports, Ports, Government, Self-Storage, and Parks and Recreation.<br>
• Ancillary offerings, such as Utility Billing, Energy Management, and Rent Café property listing and site management.</p>
",STAR Attestation,2021-09-30 00:00:00,https://content-production.star.watch/yardi-systems-inc/2022-01-25_Yardi__Primary__Gradient_2x-original.png
"VMware, Inc.",Cloud Director Service,<p>VMware Cloud Director that enables multi-tenancy on VMware Cloud on AWS providing geo expansion and asset-light use cases for VMware Cloud Providers.</p>,CAIQ 3.1 Self-assessment,2021-12-01 19:13:39.843289,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
Kinaxis,RapidResponse,"<p>RapidResponse lets you use concurrent planning to make collaborative business decisions 100x faster. Never worry about not being able to keep customer promises again. End-to-end visibility reduces unexpected risks and lets you track performance. You’ll actually be able to see your plans get better over time. With planning automation, cut costs and improve productivity. Streamlined workflows and responsibilities mean only focusing attention where it matters most.</p>
",CAIQ 3.1 Self-assessment,2021-03-04 18:31:52.689228,https://content-production.star.watch/kinaxis/2021-03-04_logo-original.png
"Viz.ai, Inc.",Viz.ai Stroke Platform,"<p>Viz.ai is an applied Artificial Intelligence (AI) healthcare company that works alongside physicians to improve acute medical care. When the brain is injured, every minute matters. Doctors use advanced imaging to diagnose the patient and refer to the right specialist. The faster they can make the diagnosis and transfer that patient the better the patient outcome. At Viz.ai, we are working on deep learning algorithms, and AI aided triage to get the right patient to the right doctor at the right time.</p>

<p>Viz.ai's landmark products are the Viz.ai LVO and Viz.ai CTP platforms. Both are FDA cleared and commercially available in the United States. Viz.ai LVO uses artificial intelligence to automatically detect Large Vessel Occlusion (LVO) strokes and triage patients directly to a stroke specialist. Viz.ai CTP uses advanced processing technology to automatically analyze CT perfusion images and generate parametric perfusion color maps. In addition, Viz.ai ICH, which is 510k pending, identifies and triages hemorrhagic strokes to the neurosurgeon, facilitating faster management, and, Viz.ai Recruit, an AI powered clinical recruitment software, facilitates clinical trials, leverages real world evidence for indication expansion and increases clinical trial enrollment.</p>
",CAIQ 3.1 Self-assessment,2019-11-19 00:00:00,https://content-production.star.watch/viz.ai-inc/2019-03-14_viz-original.png
Skilljar,Skilljar,"<p>Skilljar is a cloud-based Customer Training Platform (CTP) designed to increase product adoption and customer retention rates at scale, accelerate training results by integrating your business systems, and increase the overall operational efficiency of Customer Success teams by reducing manual overhead.</p>",CAIQ 4.0.2 Self-assessment,2021-10-29 00:00:00,https://content-production.star.watch/skilljar/2021-10-29_Skilljar_Logo-original.png
Entrust,nShield as a Service,"<p>nShield as a Service is a subscription-based solution for generating, accessing and protecting cryptographic key material, separately from sensitive data, using dedicated FIPS 140-2 Level 3 certified nShield Connect Hardware Security Modules (HSMs). The solution delivers the same features and functionality as on-premise HSMs combined with the benefits of a cloud service deployment. This allows customers to fulfill their cloud first objectives and leave the maintenance of these appliances to the experts at Entrust.</p>
<p>Because nShield as a Service benefits from the same unique Security World architecture as on-premise nShield deployments, customers can easily migrate their cryptographic operations from on-premise to the cloud or use a hybrid approach, mixing both cloud-based and on-premise nShield HSMs. For more information, visit <a href=""https://www.entrust.com/digital-security/hsm/products/nshield-hsms/nshield-as-a-service"">this page</a>.</p>",CAIQ 3.1 Self-assessment,2021-09-30 00:00:00,https://content-production.star.watch/entrust/2021-03-04_entrust-original.png
LoginRadius Inc,LoginRadius,"<p>LoginRadius’ platform helps companies deliver a connected customer experience, creates an integrated marketing ecosystem, and centralized customer data to define a unified profile and better manage their customer identities. Some of the key products include customer registration services, profile management, single sign-on (SSO), integration with third party marketing applications, user management, customer insights, and more.</p>",CAIQ 3.1 Self-assessment,2021-04-06 22:32:31.44315,https://content-production.star.watch/loginradius-inc/2018-05-29_loginradius-original.png
KnowBe4 Inc,KnowBe4 KMSAT,"<p>KnowBe4 Kevin Mitnick Security Awareness Training specializes in making sure your employees understand the mechanisms of spam, phishing, spear phishing, malware, ransomware and social engineering and can apply this knowledge in their day-to-day job.</p>
",CAIQ 4.0.1 Self-assessment,2021-08-31 16:32:51.670754,https://content-production.star.watch/knowbe4-inc/2021-03-04_frontify-main-logo-on-light-bg-rgb-original.png
